uid;time;speed_upload;speed_download;bytes_download;bytes_upload
449;2020-04-14 03:47:23.712665+02;4313;6160;5392449;3350406
450;2020-04-14 04:17:32.166529+02;5161;6987;6115203;3997774
451;2020-04-14 04:47:32.70919+02;3913;7132;6241451;3467469
452;2020-04-14 05:17:34.869451+02;3784;7030;6153970;3077482
453;2020-04-14 05:47:40.928254+02;3939;6654;5834980;3491524
454;2020-04-14 06:17:47.211374+02;4025;7600;6680640;3537390
455;2020-04-14 06:47:52.703229+02;4452;9877;8650491;3507228
456;2020-04-14 07:17:53.820829+02;4601;7292;6388169;3504017
457;2020-04-14 07:47:52.997792+02;4421;6142;5381619;3791282
458;2020-04-14 08:18:01.979867+02;;;;
459;2020-04-14 08:48:02.741976+02;4625;4607;4037104;2994652
460;2020-04-14 09:18:09.131723+02;2910;8198;7175987;2288676
461;2020-04-14 09:48:11.653473+02;;;;
462;2020-04-14 10:18:17.852518+02;2388;6727;5892902;1759153
463;2020-04-14 10:48:21.715638+02;3502;6025;5281853;2858249
464;2020-04-14 11:18:27.011455+02;3404;6338;5547159;2543847
465;2020-04-14 11:48:28.251602+02;4314;5320;4656460;3784683
466;2020-04-14 12:18:28.770595+02;2748;4166;3664386;2382767
467;2020-04-14 12:48:35.110808+02;4681;10469;9179710;4146169
468;2020-04-14 13:18:36.871459+02;4724;5627;4928131;3803559
469;2020-04-14 13:48:35.841078+02;3744;6439;5642786;2785688
470;2020-04-14 14:18:41.784655+02;;;;
471;2020-04-14 14:48:41.707768+02;3426;5008;4382269;2889824
472;2020-04-14 15:18:49.335535+02;3172;5465;4811798;2762923
473;2020-04-14 15:48:54.859748+02;1955;3372;2952064;1644449
474;2020-04-14 16:18:54.859352+02;2990;4200;3675646;2454864
475;2020-04-14 16:49:02.991328+02;4462;6097;5338102;3824565
476;2020-04-14 17:19:03.015708+02;3101;4738;4149650;2643477
477;2020-04-14 17:49:10.826943+02;;;;
478;2020-04-14 18:19:18.064996+02;4131;6562;5742550;3629410
479;2020-04-14 18:49:23.585006+02;;;;
480;2020-04-14 19:19:31.990029+02;2567;4943;4328649;2123753
481;2020-04-14 19:49:39.845521+02;2155;3468;3036748;1652749
482;2020-04-14 20:19:39.347023+02;2488;5351;4701774;2004086
483;2020-04-14 20:49:43.416956+02;2070;3588;3142336;1723483
484;2020-04-14 21:19:48.015972+02;2358;4296;3760287;1994837
485;2020-04-14 21:49:52.5042+02;2137;2334;2043413;1876644
486;2020-04-14 22:19:54.71638+02;2605;2677;2345283;2162632
487;2020-04-14 22:50:03.319572+02;2485;5155;4512069;2006728
488;2020-04-14 23:20:04.073239+02;2992;3280;2886170;2666599
489;2020-04-14 23:50:03.190513+02;3362;7209;6323351;2942095
490;2020-04-15 00:20:05.782751+02;;;;
491;2020-04-15 00:50:12.982556+02;2047;5691;5001545;1718634
492;2020-04-15 01:20:13.170909+02;3321;5661;4954467;2391415
493;2020-04-15 01:50:12.535464+02;3364;5147;4505086;2644838
494;2020-04-15 02:20:17.160741+02;3762;5442;4764856;3289716
495;2020-04-15 02:50:25.908722+02;4209;4722;4132038;3392549
496;2020-04-15 03:20:28.723925+02;3155;12835;11232028;3763306
497;2020-04-15 03:50:31.363282+02;5215;14402;12614976;4666070
498;2020-04-15 04:20:37.840342+02;5655;13139;11501478;4930770
499;2020-04-15 04:50:40.646686+02;5838;14275;12496814;3192369
500;2020-04-15 05:20:44.482723+02;5934;13120;11480035;4404560
501;2020-04-15 05:50:48.958013+02;5922;9414;8237903;4343430
502;2020-04-15 06:20:52.544626+02;;;;
503;2020-04-15 06:50:55.987533+02;4102;4406;3857997;3622376
504;2020-04-15 07:21:01.978739+02;3462;5592;4894573;2648002
505;2020-04-15 07:51:01.76667+02;4423;3353;2933698;3939346
506;2020-04-15 08:21:01.701958+02;3169;3866;3391582;2794693
507;2020-04-15 08:51:01.804601+02;2775;5522;4833184;2451294
508;2020-04-15 09:21:11.220669+02;2660;4931;4322490;1710635
509;2020-04-15 09:51:09.602149+02;2015;3802;3327723;1675615
